travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.6666666666666666,0,Human,0,0,0,27,-0.6666666666666666,-0.6666666666666666,"-0.662668560220261,0.0"
0.8833333333333333,1,Human,0,0,0,40,-0.8833333333333333,-0.8833333333333333,"-0.8765565980829944,-0.9256384000000001"
0.7333333333333333,2,Human,0,0,0,31,-0.7333333333333333,-0.7333333333333333,"-0.7280069089895647,-0.7355520000000002"
0.55,3,Human,0,0,0,3,-0.55,-0.55,"-0.5467533730430273,0.0"
0.8166666666666667,4,Human,0,0,0,37,-0.8166666666666667,-0.8166666666666667,"-0.8174759721145075,-0.8681760000000003"
0.6666666666666666,5,Human,0,0,0,28,-0.6666666666666666,-0.6666666666666666,"-0.6579160369470286,-0.6882240000000001"
0.48333333333333334,6,Human,0,0,0,9,-0.48333333333333334,-0.48333333333333334,"-0.48048023691659975,0.0"
0.7833333333333333,7,Human,0,0,0,36,-0.7833333333333333,-0.7833333333333333,"-0.7836410939042713,0.0"
0.6,8,Human,0,0,0,22,-0.6,-0.6,"-0.5908891874151805,-0.6359733333333335"
0.5833333333333334,9,Human,0,0,0,25,-0.5833333333333334,-0.5833333333333334,"-0.5826070417424463,0.0"
0.8833333333333333,10,Human,0,0,0,39,-0.8833333333333333,-0.8833333333333333,"-0.9077609390491248,0.0"
0.85,11,Human,0,0,0,38,-0.85,-0.85,"-0.8491800018731622,-0.8885546666666668"
0.4666666666666667,12,Human,0,0,0,2,-0.4666666666666667,-0.4666666666666667,"-0.45994129122312677,-0.5215200000000001"
0.5,13,Human,0,0,0,18,-0.5,-0.5,"-0.49279424059620724,-0.5330666666666667"
0.6,14,Human,0,0,0,20,-0.6,-0.6,"-0.5977664410419343,0.0"
0.7,15,Human,0,0,0,29,-0.7,-0.7,"-0.687645558838998,-0.7276800000000001"
0.4666666666666667,16,Human,0,0,0,16,-0.4666666666666667,-0.4666666666666667,"-0.46391195288499276,0.0"
0.7666666666666667,17,Human,0,0,0,32,-0.7666666666666667,-0.7666666666666667,"-0.7713396340260327,0.0"
0.6166666666666667,18,Human,0,0,0,26,-0.6166666666666667,-0.6166666666666667,"-0.6156404500599192,0.0"
0.7166666666666667,19,Human,0,0,0,30,-0.7166666666666667,-0.7166666666666667,"-0.7147368200206901,0.0"
