detid,flow
-186623965#14,33
-186623965#16,10
-22917421#14,20
-23283579#0,11
-23283579#1,11
-23648008#0,53
-23648008#1,5
-25166682#0,53
-28675510#3,8
-28675510#5,3
-297047307,61
-297047310#2,23
-297047310#3,23
-309744810#1,10
-4936412,47
-8716807#0,16
-8716807#4,16
-8716807#5,16
133081985#0,36
133081985#1,36
133081987#0,47
133081987#3,57
186623965#15,0
22917421#5,3
22959550#0,30
22959550#1,14
22959550#3,14
22959550#4,14
23283435#1,11
23647126,16
23648008#1,5
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,63
28675510#1,85
28675510#4,20
297047310#4,8
