detid,flow
-186623965#14,34
-186623965#16,11
-22917421#14,20
-23283579#0,20
-23283579#1,20
-23648008#0,53
-23648008#1,3
-25166682#0,53
-28675510#3,4
-28675510#5,14
-297047307,61
-297047310#2,34
-297047310#3,34
-309744810#1,9
-4936412,47
-8716807#0,4
-8716807#4,4
-8716807#5,4
133081985#0,27
133081985#1,27
133081987#0,47
133081987#3,56
186623965#15,0
22917421#5,14
22959550#0,19
22959550#1,15
22959550#3,15
22959550#4,15
23283435#1,20
23647126,4
23648008#1,3
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,51
28675510#1,70
28675510#4,20
297047310#4,8
