detid,flow
-186623965#14,34
-186623965#16,11
-22917421#14,20
-23283579#0,18
-23283579#1,18
-23648008#0,53
-23648008#1,3
-25166682#0,53
-28675510#3,5
-28675510#5,10
-297047307,59
-297047310#2,30
-297047310#3,30
-309744810#1,7
-4936412,47
-8716807#0,7
-8716807#4,7
-8716807#5,7
133081985#0,29
133081985#1,29
133081987#0,47
133081987#3,54
186623965#15,0
22917421#5,10
22959550#0,23
22959550#1,16
22959550#3,16
22959550#4,16
23283435#1,18
23647126,7
23648008#1,3
23686088#0,47
23686088#1,47
23840713#0,60
23840971,58
28675510#0,54
28675510#1,75
28675510#4,20
297047310#4,6
