travel_time,id,kind,action,origin,destination,start_time,reward,reward_right
2.3666666666666667,0,Human,2,1,1,1401,-2.3666666666666667,-2.3333333333333335
2.533333333333333,1,Human,1,0,0,2317,-2.533333333333333,-3.9
3.05,2,Human,0,0,0,1220,-3.05,-3.0
2.283333333333333,3,Human,1,0,1,1610,-2.283333333333333,-2.3833333333333333
2.1,5,Human,0,0,1,2821,-2.1,-2.1333333333333333
1.8,6,AV,1,0,1,1698,-1.8,-1.8
3.0,8,AV,1,0,0,2887,-3.0,-3.066666666666667
1.9666666666666666,9,AV,0,0,1,1762,-1.9666666666666666,-2.0166666666666666
2.65,11,Human,0,1,1,1731,-2.65,-2.716666666666667
1.9,13,Human,0,0,1,2379,-1.9,-1.9166666666666667
4.183333333333334,14,Human,0,1,0,1581,-4.183333333333334,-4.166666666666667
4.433333333333334,15,Human,1,1,0,2161,-4.433333333333334,-4.2
3.933333333333333,16,Human,2,1,0,1799,-3.933333333333333,-3.933333333333333
2.033333333333333,17,Human,2,0,1,2408,-2.033333333333333,-2.033333333333333
4.233333333333333,19,Human,1,1,0,1009,-4.233333333333333,-4.016666666666667
4.35,20,Human,0,1,0,2240,-4.35,-4.35
5.316666666666666,21,Human,1,1,0,1778,-5.316666666666666,-5.3
4.15,22,Human,2,1,0,1602,-4.15,-4.4
