travel_time,id,kind,action,origin,destination,start_time,reward,reward_right
0.4666666666666667,9,AV,0,0,0,18,-0.4666666666666667,
0.6333333333333333,4,AV,0,0,0,28,-0.6333333333333333,
0.55,8,AV,0,0,0,49,-0.55,
0.55,6,AV,0,0,0,40,-0.55,
0.48333333333333334,7,AV,0,0,0,22,-0.48333333333333334,
0.48333333333333334,0,Human,0,0,0,12,-0.48333333333333334,-0.9166666666666666
0.8666666666666667,1,Human,1,0,0,35,-0.8666666666666667,-0.6333333333333333
0.9333333333333333,2,Human,1,0,0,7,-0.9333333333333333,-0.5
0.9333333333333333,3,Human,1,0,0,44,-0.9333333333333333,-0.9666666666666667
0.8833333333333333,5,Human,1,0,0,3,-0.8833333333333333,-0.4666666666666667
