detid,flow
-186623965#14,32
-186623965#16,10
-22917421#14,20
-23283579#0,24
-23283579#1,24
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,3
-28675510#5,16
-297047307,58
-297047310#2,36
-297047310#3,36
-309744810#1,12
-4936412,47
-8716807#0,5
-8716807#4,5
-8716807#5,5
133081985#0,23
133081985#1,23
133081987#0,47
133081987#3,59
186623965#15,0
22917421#5,16
22959550#0,17
22959550#1,12
22959550#3,12
22959550#4,12
23283435#1,24
23647126,5
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,52
28675510#1,67
28675510#4,20
297047310#4,5
