detid,flow
-186623965#14,31
-186623965#16,10
-22917421#14,20
-23283579#0,20
-23283579#1,20
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,8
-28675510#5,17
-297047307,56
-297047310#2,37
-297047310#3,37
-309744810#1,3
-4936412,47
-8716807#0,2
-8716807#4,2
-8716807#5,2
133081985#0,27
133081985#1,27
133081987#0,47
133081987#3,50
186623965#15,0
22917421#5,17
22959550#0,16
22959550#1,14
22959550#3,14
22959550#4,14
23283435#1,20
23647126,2
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,58
28675510#0,49
28675510#1,71
28675510#4,20
297047310#4,3
