detid,flow
-186623965#14,31
-186623965#16,10
-22917421#14,20
-23283579#0,22
-23283579#1,22
-23648008#0,53
-23648008#1,8
-25166682#0,53
-28675510#3,3
-28675510#5,17
-297047307,58
-297047310#2,37
-297047310#3,37
-309744810#1,13
-4936412,47
-8716807#0,4
-8716807#4,4
-8716807#5,4
133081985#0,25
133081985#1,25
133081987#0,47
133081987#3,60
186623965#15,0
22917421#5,17
22959550#0,16
22959550#1,12
22959550#3,12
22959550#4,12
23283435#1,22
23647126,4
23648008#1,8
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,51
28675510#1,66
28675510#4,20
297047310#4,5
