detid,flow
-186623965#14,30
-186623965#16,10
-22917421#14,20
-23283579#0,24
-23283579#1,24
-23648008#0,53
-23648008#1,9
-25166682#0,53
-28675510#3,3
-28675510#5,19
-297047307,57
-297047310#2,39
-297047310#3,39
-309744810#1,11
-4936412,47
-8716807#0,4
-8716807#4,4
-8716807#5,4
133081985#0,23
133081985#1,23
133081987#0,47
133081987#3,58
186623965#15,0
22917421#5,19
22959550#0,14
22959550#1,10
22959550#3,10
22959550#4,10
23283435#1,24
23647126,4
23648008#1,9
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,51
28675510#1,64
28675510#4,20
297047310#4,4
