detid,flow
-186623965#14,31
-186623965#16,10
-22917421#14,20
-23283579#0,24
-23283579#1,24
-23648008#0,53
-23648008#1,1
-25166682#0,53
-28675510#3,7
-28675510#5,7
-297047307,64
-297047310#2,27
-297047310#3,27
-309744810#1,3
-4936412,47
-8716807#0,15
-8716807#4,15
-8716807#5,15
133081985#0,23
133081985#1,23
133081987#0,47
133081987#3,50
186623965#15,0
22917421#5,7
22959550#0,26
22959550#1,11
22959550#3,11
22959550#4,11
23283435#1,24
23647126,15
23648008#1,1
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,62
28675510#1,80
28675510#4,20
297047310#4,11
