detid,flow
-186623965#14,32
-186623965#16,11
-22917421#14,20
-23283579#0,21
-23283579#1,21
-23648008#0,53
-23648008#1,8
-25166682#0,53
-28675510#3,3
-28675510#5,15
-297047307,58
-297047310#2,35
-297047310#3,35
-309744810#1,13
-4936412,47
-8716807#0,5
-8716807#4,5
-8716807#5,5
133081985#0,26
133081985#1,26
133081987#0,47
133081987#3,60
186623965#15,0
22917421#5,15
22959550#0,18
22959550#1,13
22959550#3,13
22959550#4,13
23283435#1,21
23647126,5
23648008#1,8
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,52
28675510#1,68
28675510#4,20
297047310#4,5
