detid,flow
-186623965#14,31
-186623965#16,11
-22917421#14,20
-23283579#0,15
-23283579#1,15
-23648008#0,53
-23648008#1,2
-25166682#0,53
-28675510#3,3
-28675510#5,8
-297047307,58
-297047310#2,28
-297047310#3,28
-309744810#1,4
-4936412,47
-8716807#0,7
-8716807#4,7
-8716807#5,7
133081985#0,32
133081985#1,32
133081987#0,47
133081987#3,51
186623965#15,0
22917421#5,8
22959550#0,25
22959550#1,18
22959550#3,18
22959550#4,18
23283435#1,15
23647126,7
23648008#1,2
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,54
28675510#1,75
28675510#4,20
297047310#4,5
