detid,flow
-186623965#14,30
-186623965#16,10
-22917421#14,20
-23283579#0,11
-23283579#1,11
-23648008#0,53
-23648008#1,5
-25166682#0,53
-28675510#3,5
-28675510#5,0
-297047307,62
-297047310#2,20
-297047310#3,20
-309744810#1,12
-4936412,47
-8716807#0,17
-8716807#4,17
-8716807#5,17
133081985#0,36
133081985#1,36
133081987#0,47
133081987#3,59
186623965#15,0
22917421#5,0
22959550#0,33
22959550#1,16
22959550#3,16
22959550#4,16
23283435#1,11
23647126,17
23648008#1,5
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,64
28675510#1,85
28675510#4,20
297047310#4,9
