detid,flow
-186623965#14,33
-186623965#16,11
-22917421#14,20
-23283579#0,16
-23283579#1,16
-23648008#0,53
-23648008#1,1
-25166682#0,53
-28675510#3,3
-28675510#5,7
-297047307,59
-297047310#2,27
-297047310#3,27
-309744810#1,3
-4936412,47
-8716807#0,4
-8716807#4,4
-8716807#5,4
133081985#0,31
133081985#1,31
133081987#0,47
133081987#3,50
186623965#15,0
22917421#5,7
22959550#0,26
22959550#1,22
22959550#3,22
22959550#4,22
23283435#1,16
23647126,4
23648008#1,1
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,51
28675510#1,76
28675510#4,20
297047310#4,6
