detid,flow
-186623965#14,33
-186623965#16,10
-22917421#14,20
-23283579#0,15
-23283579#1,15
-23648008#0,53
-23648008#1,3
-25166682#0,53
-28675510#3,3
-28675510#5,6
-297047307,57
-297047310#2,26
-297047310#3,26
-309744810#1,4
-4936412,47
-8716807#0,5
-8716807#4,5
-8716807#5,5
133081985#0,32
133081985#1,32
133081987#0,47
133081987#3,51
186623965#15,0
22917421#5,6
22959550#0,27
22959550#1,22
22959550#3,22
22959550#4,22
23283435#1,15
23647126,5
23648008#1,3
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,52
28675510#1,77
28675510#4,20
297047310#4,4
