travel_time,id,kind,action,origin,destination,start_time,reward,reward_right,cost_table
0.6,14,AV,0,0,0,20,0.6,,"0,0"
0.6,8,AV,0,0,0,22,0.6,,"0,0"
0.9,1,AV,0,0,0,40,0.9,,"0,0"
0.8166666666666667,4,AV,0,0,0,37,0.8166666666666667,,"0,0"
1.2333333333333334,17,AV,1,0,0,32,1.2333333333333334,,"0,0"
0.85,11,AV,0,0,0,38,0.85,,"0,0"
0.8833333333333333,10,AV,0,0,0,39,0.8833333333333333,,"0,0"
0.7166666666666667,19,AV,0,0,0,30,0.7166666666666667,,"0,0"
0.5833333333333334,9,AV,0,0,0,25,0.5833333333333334,,"0,0"
0.6166666666666667,18,AV,0,0,0,26,0.6166666666666667,,"0,0"
0.6666666666666666,0,Human,0,0,0,27,-0.6666666666666666,-0.6666666666666666,"-0.6666666665308643,0.0"
0.7333333333333333,2,Human,0,0,0,31,-0.7333333333333333,-0.7333333333333333,"-0.7333333331839509,0.0"
0.55,3,Human,0,0,0,3,-0.55,-0.55,"-0.5499999998879632,0.0"
0.6666666666666666,5,Human,0,0,0,28,-0.6666666666666666,-0.6666666666666666,"-0.6666666665308643,0.0"
0.48333333333333334,6,Human,0,0,0,9,-0.48333333333333334,-0.48333333333333334,"-0.4833333332348768,0.0"
0.7833333333333333,7,Human,0,0,0,36,-0.7833333333333333,-0.7833333333333333,"-0.783333333173766,0.0"
0.4666666666666667,12,Human,0,0,0,2,-0.4666666666666667,-0.4666666666666667,"-0.46666666657160505,0.0"
0.5,13,Human,0,0,0,18,-0.5,-0.5,"-0.49999999989814825,0.0"
0.7,15,Human,0,0,0,29,-0.7,-0.7,"-0.6999999998574077,0.0"
0.4666666666666667,16,Human,0,0,0,16,-0.4666666666666667,-0.4666666666666667,"-0.46666666657160505,0.0"
